epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,1356.9,0.88927,0.38841,0.00154,0.74762,0.83188,0.83089,0.55671,1.33947,0.71617,0.00244,0.000253317,0.000253317,0.000253317
72,1375.68,0.86903,0.38122,0.00142,0.73489,0.84333,0.84264,0.55791,1.3444,0.70577,0.00242,0.000248621,0.000248621,0.000248621
73,1394.41,0.86106,0.36939,0.00148,0.73977,0.80929,0.83284,0.5565,1.34753,0.70692,0.00242,0.000243917,0.000243917,0.000243917
74,1412.99,0.87534,0.37361,0.00135,0.88008,0.7428,0.83877,0.56176,1.36683,0.69614,0.00246,0.000239206,0.000239206,0.000239206
75,1431.8,0.85855,0.35956,0.00143,0.78622,0.80096,0.85592,0.57361,1.35123,0.7275,0.00246,0.000234492,0.000234492,0.000234492
76,1450.43,0.87217,0.3606,0.00149,0.76612,0.81688,0.86191,0.5713,1.38105,0.72667,0.0025,0.000229775,0.000229775,0.000229775
77,1469.17,0.86189,0.3737,0.00157,0.72883,0.80152,0.83192,0.54272,1.39194,0.7686,0.0025,0.000225058,0.000225058,0.000225058
78,1487.93,0.86073,0.3769,0.00151,0.74787,0.80504,0.82831,0.55583,1.36845,0.78074,0.00247,0.000220344,0.000220344,0.000220344
79,1506.56,0.85887,0.36228,0.00139,0.66868,0.82109,0.80733,0.53922,1.34238,0.80911,0.00242,0.000215633,0.000215633,0.000215633
80,1525.17,0.80142,0.34047,0.00143,0.735,0.74212,0.82316,0.55121,1.37001,0.78797,0.00245,0.000210929,0.000210929,0.000210929
81,1543.71,0.81834,0.35365,0.0014,0.73335,0.78734,0.81932,0.55781,1.36923,0.78932,0.00248,0.000206233,0.000206233,0.000206233
82,1562.28,0.76995,0.33308,0.00132,0.74855,0.81658,0.83406,0.56778,1.37617,0.77472,0.00248,0.000201547,0.000201547,0.000201547
83,1580.88,0.77434,0.31576,0.00131,0.78409,0.78271,0.84068,0.57042,1.34974,0.77993,0.00242,0.000196873,0.000196873,0.000196873
84,1599.39,0.79351,0.34806,0.00138,0.73721,0.83345,0.83486,0.56978,1.34972,0.76485,0.00245,0.000192215,0.000192215,0.000192215
