match,frame_pos,track_id,system_label,judgment,note
M05,75,341,TARGET,correct,
M05,75,249,TARGET,correct,
M05,75,339,TARGET,correct,
M05,75,241,OTHER,correct,
M05,75,205,OTHER,correct,
M05,75,213,OTHER,correct,
M05,75,229,OTHER,correct,
M05,75,316,OTHER,correct,
M05,75,298,OTHER,correct,
M05,75,368,OTHER,correct,steward
M05,95,471,TARGET,correct,
M05,95,476,TARGET,correct,
M05,95,465,TARGET,correct,
M05,95,475,TARGET,correct,
M05,95,474,TARGET,correct,
M05,95,455,TARGET,correct,
M05,95,468,TARGET,correct,
M05,95,464,TARGET,wrong,referee labeled target
M05,95,486,OTHER,correct,
M05,95,452,OTHER,correct,
M05,95,454,OTHER,correct,
M05,95,459,OTHER,correct,
M05,95,453,OTHER,correct,
M05,95,462,OTHER,correct,
M05,95,458,OTHER,correct,
M05,95,466,OTHER,correct,
M05,95,492,OTHER,correct,
M05,95,482,OTHER,correct,
M05,95,456,OTHER,correct,
M05,95,460,OTHER,correct,
M06,55,249,OTHER,correct,
M06,75,366,TARGET,correct,
M06,75,347,TARGET,correct,
M06,75,354,TARGET,correct,
M06,75,353,TARGET,correct,
M06,75,349,TARGET,correct,
M06,75,357,TARGET,correct,
M06,75,356,TARGET,correct,
M06,75,364,OTHER,correct,
M06,75,355,OTHER,correct,
M06,75,385,OTHER,correct,
M06,75,382,OTHER,correct,
M06,75,310,OTHER,correct,
M06,75,377,OTHER,correct,
M06,75,325,OTHER,correct,
M06,75,306,OTHER,correct,
M06,75,351,OTHER,correct,
M06,75,352,OTHER,correct,
M06,75,376,OTHER,correct,
M06,95,473,TARGET,correct,
M06,95,406,TARGET,correct,
M06,95,409,TARGET,correct,
M06,95,479,TARGET,correct,
M06,95,475,OTHER,correct,
M07,55,279,TARGET,correct,
M07,55,264,TARGET,correct,
M07,55,252,TARGET,correct,
M07,55,273,TARGET,correct,
M07,55,233,TARGET,correct,
M07,55,251,OTHER,correct,
M07,55,263,OTHER,correct,
M07,55,234,OTHER,correct,
M07,55,184,OTHER,correct,
M07,75,395,TARGET,correct,
M07,75,424,OTHER,correct,
M07,75,429,OTHER,correct,
M07,75,390,OTHER,correct,
M07,95,505,TARGET,correct,
M07,95,493,TARGET,correct,
M07,95,424,TARGET,correct,track id reassigned to white player
M07,95,498,OTHER,correct,
M07,95,496,OTHER,correct,
M07,95,509,OTHER,correct,
M08,55,270,TARGET,wrong,opponent teal kit labeled target (11 s after kickoff)
M08,55,378,OTHER,correct,
M08,55,370,OTHER,correct,
M08,55,363,OTHER,wrong,own white kit labeled opponent (11 s after kickoff)
M08,55,351,OTHER,wrong,own white kit labeled opponent (11 s after kickoff)
M08,75,456,TARGET,correct,
